Kód projektu;Název projektu;Lokace;Typologie;Stav;Investor;Team;Obrázek;Zahájení;Dokončení;Popis;Latitude;Longitude
PET_2022-042;Petynka;Praha 6;Bydlení;DPS;Geosan;ML, PB;https://casuasro-my.sharepoint.com/:i:/g/personal/petr_spada_casua_cz/IQB3Ok_DXgenQ4lJ0uo3CX3ZAbHueGcJ2dw0Cxc3mY_kmd4?e=ZndVLU;01/2022;10/2028;Re.Start Petynka nabízí 283 bytů ve vyladěných dispozicích. Od útulných jednopokojových 1 + KK, ideálních pro jednotlivce nebo mladé páry, až po prostorné byty 4 + KK, jako dělané pro rodiny s dětmi. Nejvíce jsou v projektu zastoupeny byty 2 + KK, které kombinují dostatek prostoru pro pohodlné bydlení s cenovou dostupností.;50.0895089;14.3810814
SCS-OLOE_2021;OLOE;Praha 5;Administrativa;DPS;ČEZ;ML, JR, PŠ;;03/2024;06/2027;BIM;50.0646719;14.4063372
1710127_25_SMZE;Smíchovská žehlička;Praha 5;Bydlení;Studie;;GJ;;-;-;;50.0703778;14.3997075
1710111_25_SMK;Šemíkův břeh;Praha 5;Bydlení;DPZ;;GK;;-;-;BIM;50.0653703;14.4115925
Ja35_21;BD Jateční 35;Praha 7;Bydlení;Dokončené;;JK;jatecni_DJI_20260122161658_0002_D.JPG;04/2020;11/2026;3D;50.1006911;14.4509217
1710071_23_MOC;Motol-GEMO;Praha 5;Zdravotnictví;Stavba;Gemo;;;;;;50.0743053;14.3518703
;;;Polyfunkce;;;;;;;;;
;;;Vzdělávání;;;;;;;;;
;;;Kultura;;;;;;;;;
;;;Průmysl;;;;;;;;;
;;;Ostatní;;;;;;;;;
;;;Urbanismus a veřejný prostor;;;;;;;;;
PETR_2022-029;Petrska 18;Praha 1;;DPZ;;;;-;-;;50.0916433;14.4352078
;;;;;;;;;;;;
